#,Pick,Name,Pos,Team,Bye,Overall,StdDev,High,Low,TimesDrafted,Fantasy_yr
27,3.03,Ezekiel Elliott,RB,DAL,9,26.6,3.6,1.05,4.06,4394,2022
28,3.03,Keenan Allen,WR,LAC,8,27.3,3.3,2.01,4.03,5049,2022
29,3.03,Blaine Gabbert,QB,TB,11,27.4,60,1.01,15.06,8,2022
30,3.04,A.J. Brown,WR,PHI,7,27.8,3.3,1.12,4.11,3395,2022
31,3.05,Michael Pittman Jr.,WR,IND,14,29.2,3.1,1.06,4.05,4807,2022
32,3.07,David Montgomery,RB,CHI,14,30.9,3.8,2.04,5.11,2561,2022
33,3.07,James Conner,RB,ARI,13,31.1,3.8,1.12,4.09,5709,2022
34,3.08,Tee Higgins,WR,CIN,10,31.9,3.5,1.09,4.09,3797,2022
35,3.09,Justin Herbert,QB,LAC,8,32.7,5.1,1.02,5.08,2716,2022
36,3.1,Cam Akers,RB,LAR,7,33.6,4,1.01,5.02,4298,2022
37,3.11,Kyle Pitts,TE,ATL,14,35.5,4.8,1.05,6.01,5178,2022
38,3.12,J.K. Dobbins,RB,BAL,10,35.6,4.3,1.03,5.05,3211,2022
39,4.01,Terry McLaurin,WR,WAS,14,36.9,3.8,1.07,5.03,4349,2022
40,4.02,Patrick Mahomes,QB,KC,8,37.8,6.1,1.01,7.04,3164,2022
41,4.02,Travis Etienne,RB,JAX,11,38.3,5.2,1.05,5.08,7054,2022
42,4.03,D.K. Metcalf,WR,SEA,11,39.5,4.6,2.07,5.12,2710,2022
43,4.06,George Kittle,TE,SF,9,41.5,5,1.12,6.06,3354,2022
44,4.06,D.J. Moore,WR,CAR,13,41.7,5.1,1.12,6.02,6283,2022
45,4.06,Antonio Gibson,RB,WAS,14,42.4,5.3,1.06,6.08,2224,2022
46,4.08,Diontae Johnson,WR,PIT,9,43.8,4.8,2.12,6.1,3126,2022
47,4.08,Elijah Mitchell,RB,SF,9,44,4.9,2.11,6.04,4449,2022
48,4.09,Josh Jacobs,RB,LV,6,45.4,5.4,1.12,7.02,3344,2022
49,4.11,Jaylen Waddle,WR,MIA,11,46.8,5.6,2.09,6.06,4712,2022
50,4.11,Breece Hall,RB,NYJ,10,46.9,6.6,1.03,6.09,6119,2022
51,4.12,Mike Williams,WR,LAC,8,47.6,6.1,2.12,6.08,6157,2022
52,4.12,Darren Waller,TE,LV,6,47.7,5.8,1.07,6.1,4524,2022
53,5.02,Lamar Jackson,QB,BAL,10,49.6,6.7,1.01,7.08,3193,2022
54,5.04,Michael Thomas,WR,NO,14,51.6,6,2.08,6.12,5802,2022
55,5.04,DeAndre Hopkins,WR,ARI,13,51.7,6.2,2.08,6.12,2841,2022
56,5.04,Joe Burrow,QB,CIN,10,51.8,7.4,1.07,8.01,1880,2022
57,5.06,Clyde Edwards-Helaire,RB,KC,8,54,5.3,2.08,8.07,2525,2022
58,5.07,Chris Godwin,WR,TB,11,55.5,6.1,2.09,7.05,4057,2022
59,5.08,A.J. Dillon,RB,GB,14,56,5.7,2.07,6.12,3528,2022
60,5.08,Brandin Cooks,WR,HOU,6,56.2,5.2,2.12,7.03,4705,2022
61,5.1,Damien Harris,RB,NE,10,58.1,5.8,2.11,7.08,1668,2022
62,5.11,Allen Robinson,WR,LAR,7,58.7,6.1,3.01,7.1,6302,2022
63,5.12,Kyler Murray,QB,ARI,13,60,6.3,1.01,8.02,2242,2022
64,6.01,Miles Sanders,RB,PHI,7,61.1,5.6,3.07,7.11,2747,2022
65,6.03,Adam Thielen,WR,MIN,7,62.7,6.2,3.02,7.11,4122,2022
66,6.03,T.J. Hockenson,TE,DET,6,63.3,6.7,3.1,8.11,1996,2022
67,6.04,Jalen Hurts,QB,PHI,7,63.8,6.3,2.12,9.06,3237,2022
68,6.04,Jerry Jeudy,WR,DEN,9,64.1,6.3,3.02,7.11,5071,2022
69,6.04,Courtland Sutton,WR,DEN,9,64.3,8.5,2.07,8.04,7685,2022
70,6.06,Hunter Renfrow,WR,LV,6,66.2,6.2,3.11,8.04,2384,2022
71,6.06,Dalton Schultz,TE,DAL,9,66.2,7.6,2.03,9.04,4469,2022
72,6.08,Rashaad Penny,RB,SEA,11,67.7,6.4,2.1,8.12,3452,2022
73,6.09,Tony Pollard,RB,DAL,9,69.4,6.4,1.04,8.07,2809,2022
74,6.1,Kareem Hunt,RB,CLE,9,69.7,6.2,3.09,8.09,3554,2022
75,6.12,Darnell Mooney,WR,CHI,14,72.2,6.1,4.01,8.12,3131,2022
76,7.01,Amari Cooper,WR,CLE,9,73.3,6.4,4.01,9.03,2710,2022
77,7.01,Marquise Brown,WR,ARI,13,73.3,6.3,3.08,8.1,3277,2022
78,7.02,Devin Singletary,RB,BUF,7,74.3,6.8,4.06,8.09,2013,2022
79,7.03,Gabriel Davis,WR,BUF,7,75.1,6.9,3.11,9.01,4242,2022
80,7.05,Aaron Rodgers,QB,GB,14,77,9.3,1.1,10.06,2423,2022
81,7.06,Chase Edmonds,RB,MIA,11,77.8,6.9,1.08,9.04,4152,2022
82,7.08,Russell Wilson,QB,DEN,9,79.7,8.8,2.11,10.05,4243,2022
83,7.08,Dallas Goedert,TE,PHI,7,80.1,8.9,4.05,11.07,2937,2022
84,7.08,Amon-Ra St. Brown,WR,DET,6,80.4,7.8,4.01,10.11,5143,2022
85,7.09,Matthew Stafford,QB,LAR,7,81.4,9.3,1.07,10.07,1945,2022
86,7.11,James Robinson,RB,JAX,11,82.6,7,3.1,9.1,1453,2022
87,7.12,DeVonta Smith,WR,PHI,7,84,6.9,3.01,9.09,2470,2022
88,7.12,Kenneth Walker III,RB,SEA,11,84.4,8.1,3.01,10.05,3432,2022
89,8.03,Melvin Gordon,RB,DEN,9,86.7,7.2,4.1,10.04,2570,2022
90,8.03,JuJu Smith-Schuster,WR,KC,8,86.9,9.3,2.05,10.11,5912,2022
91,8.03,Rhamondre Stevenson,RB,NE,10,87,7.8,3.02,10.12,4633,2022
92,8.03,Dawson Knox,TE,BUF,7,87.3,11,3.07,13.03,1731,2022
93,8.03,Dak Prescott,QB,DAL,9,87.4,9.3,2.08,11.01,2992,2022
94,8.04,Elijah Moore,WR,NYJ,10,88.1,7.6,2.06,10.06,3040,2022
95,8.05,Rashod Bateman,WR,BAL,10,89.3,7.9,4.07,10.11,4638,2022
96,8.07,Tom Brady,QB,TB,11,91,10.8,1.01,11.04,4547,2022
97,8.09,James Cook,RB,BUF,7,92.9,7.6,4.05,10.11,3265,2022
98,8.09,Cordarrelle Patterson,WR,ATL,14,93.3,8.8,3.08,10.1,2856,2022
99,8.1,Alexander Mattison,RB,MIN,7,94.3,7.1,4.04,10.06,1251,2022
100,8.12,Brandon Aiyuk,WR,SF,9,96,7.7,4.09,10.11,2806,2022
101,9.01,Zach Ertz,TE,ARI,13,96.6,10.4,5.01,12.08,3486,2022
102,9.03,Allen Lazard,WR,GB,14,99.3,8.5,5.03,11.06,5079,2022
103,9.04,Robert Woods,WR,TEN,6,99.7,7.2,4.11,11.01,2297,2022
104,9.07,Michael Carter,RB,NYJ,10,102.6,7.4,2.05,11.06,1389,2022
105,9.07,Derek Carr,QB,LV,6,102.7,9,6.03,14.11,3586,2022
106,9.07,Nyheim Hines,RB,IND,14,103.2,7.4,5.12,11.07,2025,2022
107,9.08,Trey Lance,QB,SF,9,103.8,9.9,1.02,13.06,4383,2022
108,9.08,Dameon Pierce,RB,HOU,6,104.3,9.5,3.05,12.01,4112,2022
109,9.08,Ronald Jones II,RB,KC,8,104.5,7.7,6.08,12.08,912,2022
110,9.09,Darrell Henderson,RB,LAR,7,104.8,6.4,6.08,11.06,1351,2022
111,9.11,Tyler Lockett,WR,SEA,11,107.5,7.2,6.02,11.1,1673,2022
112,9.12,Christian Kirk,WR,JAX,11,108.3,7.3,6.05,12.06,2722,2022
113,10.01,Nelson Agholor,WR,NE,10,109.3,31.5,3.01,13.01,10,2022
114,10.03,Russell Gage,WR,TB,11,110.9,7.9,3.01,12.05,999,2022
115,10.03,Chase Claypool,WR,PIT,9,111.2,8.3,4.06,13.02,960,2022
116,10.04,Buffalo Defense,DEF,BUF,7,111.5,12.1,1.05,13.02,3562,2022
117,10.04,Kadarius Toney,WR,NYG,9,111.7,8.3,6.01,13.06,3230,2022
118,10.04,Raheem Mostert,RB,MIA,11,112.4,8.6,6.04,13.06,1601,2022
119,10.07,Drake London,WR,ATL,14,114.9,9.6,4.09,13.07,3118,2022
120,10.07,J.D. McKissic,RB,WAS,14,115.4,8.5,7.05,13.05,1346,2022
121,10.09,Pat Freiermuth,TE,PIT,9,116.6,14.3,3.01,14.08,2506,2022
122,10.09,Isaiah Spiller,RB,LAC,8,116.7,8.8,5.01,13.06,2324,2022
123,10.1,Kirk Cousins,QB,MIN,7,118.4,11.7,1.01,13.12,3278,2022
124,10.11,Tyler Allgeier,RB,ATL,14,119.2,9.1,6.05,13.06,2274,2022
125,10.12,Michael Gallup,WR,DAL,9,120.1,9.5,2.06,13.06,1440,2022
126,10.12,Marlon Mack,RB,HOU,6,120.2,9.8,7.08,14.01,1164,2022
127,11.02,Mike Gesicki,TE,MIA,11,121.9,14.2,5.03,15.11,1920,2022
128,11.03,Chris Olave,WR,NO,14,123.4,10.1,5.05,13.12,2862,2022
129,11.03,Mark Ingram,RB,NO,14,123.5,11.1,2.06,13.06,1005,2022
130,11.04,LA Rams Defense,DEF,LAR,7,123.6,12.5,1.08,14.01,2690,2022
131,11.06,Kenneth Gainwell,RB,PHI,7,125.7,10,6.05,13.12,2103,2022
132,11.06,Treylon Burks,WR,TEN,6,126,10.7,6.01,13.11,1618,2022
133,11.08,Skyy Moore,WR,KC,8,128,10.9,1.03,13.09,3022,2022
134,11.08,Deshaun Watson,QB,CLE,9,128.1,16.1,1.01,15.02,1132,2022
135,11.09,Chuba Hubbard,RB,CAR,13,129.3,11.4,5.02,14.03,1033,2022
136,11.09,Tampa Bay Defense,DEF,TB,11,129.4,10.7,5.12,15.08,1688,2022
137,11.1,Tua Tagovailoa,QB,MIA,11,130.1,12.5,1.01,15.1,1380,2022
138,11.11,Rachaad White,RB,TB,11,130.5,9.4,8.07,14.04,1430,2022
139,11.11,DeVante Parker,WR,NE,10,130.5,9.4,8.05,14.07,1420,2022
140,12.01,Cole Kmet,TE,CHI,14,132.8,15.2,6.03,15.12,2280,2022
141,12.01,Hunter Henry,TE,NE,10,133.2,16.6,5.01,15.1,1517,2022
142,12.02,Jamaal Williams,RB,DET,6,133.8,9.4,8.12,15.06,1420,2022
143,12.02,Jarvis Landry,WR,NO,14,134.2,11.9,3.02,16.01,877,2022
144,12.02,Tyler Boyd,WR,CIN,10,134.3,12.6,6.12,15.06,1105,2022
145,12.03,NY Jets Defense,DEF,NYJ,10,135.4,60.9,1.01,15.11,22,2022
146,12.04,Justin Tucker,PK,BAL,10,136,17.3,1.04,15.12,5131,2022
147,12.05,Indianapolis Defense,DEF,IND,14,136.5,11.9,6.02,15.03,1607,2022
148,12.05,Gus Edwards,RB,BAL,10,137,11,7.1,15.05,762,2022
149,12.05,A.J. Green,WR,ARI,13,137.1,49.7,1.04,17.02,19,2022
150,12.06,Christian Watson,WR,GB,14,138.3,11.4,5.04,15.1,782,2022
151,12.06,Julio Jones,WR,TB,11,138.3,15.6,3.06,15.11,2175,2022
152,12.06,Darrel Williams,RB,ARI,13,138.3,12.2,4.07,15.1,555,2022
153,12.08,San Francisco Defense,DEF,SF,9,139.7,13.2,3.03,14.12,1525,2022
154,12.08,Marquez Valdes-Scantling,WR,KC,8,140,12.5,5.11,15.1,1068,2022
155,12.08,Matt Ryan,QB,IND,14,140.2,16,2.09,15.12,1801,2022
156,12.11,Tyrion Davis-Price,RB,SF,9,142.9,12.7,9.02,15.12,715,2022
157,12.11,Daniel Carlson,PK,LV,6,143.3,16.3,6.12,16.08,1430,2022
158,12.11,Tyler Bass,PK,BUF,7,143.3,17.4,1.12,16.03,1275,2022
159,13.02,Mitch Trubisky,QB,PIT,9,145.6,63.8,1.01,18.06,13,2022
160,13.02,Harrison Butker,PK,KC,8,145.7,16.5,6.09,16.08,1071,2022
161,13.02,Hayden Hurst,TE,CIN,10,145.7,31.4,6.12,18.05,77,2022
162,13.02,Cameron Brate,TE,TB,11,146.1,36,4.12,17.02,23,2022
163,13.03,LA Chargers Defense,DEF,LAC,8,147.1,15.3,1.1,16.09,1524,2022
164,13.03,Isaih Pacheco,RB,KC,8,147.2,18.8,6.1,18.08,1314,2022
165,13.04,New Orleans Defense,DEF,NO,14,147.6,14.7,3.1,15.08,928,2022
166,13.04,Justin Fields,QB,CHI,14,147.8,16.3,4.07,16.03,1136,2022
167,13.04,Mo Alie-Cox,TE,IND,14,148.5,41.3,6.08,18.02,13,2022
168,13.04,Mecole Hardman,WR,KC,8,148.5,15.9,6.1,15.12,792,2022
169,13.05,Ryan Succop,PK,TB,11,149.4,15.2,7.08,16.1,608,2022
170,13.05,Washington Defense,DEF,WAS,14,149.4,28,5.01,17.11,45,2022
171,13.05,George Pickens,WR,PIT,9,149.4,23.7,1.01,18.01,1066,2022
172,13.05,Matt Gay,PK,LAR,7,149.5,14.9,6.12,16.08,940,2022
173,13.05,Robert Tonyan Jr.,TE,GB,14,149.5,20.1,1.03,17.04,1735,2022
174,13.06,Ameer Abdullah,RB,LV,6,149.8,47.9,1.01,18.05,36,2022
175,13.07,Irv Smith Jr.,TE,MIN,7,150.6,18.4,5.03,16.04,1250,2022
176,13.07,Romeo Doubs,WR,GB,14,150.8,18.6,7.12,18.06,1383,2022
177,13.08,Rodrigo Blankenship,PK,IND,14,151.5,14.7,6.01,16.09,532,2022
178,13.08,Kyle Rudolph,TE,TB,11,152,33.6,5.07,18.05,48,2022
179,13.08,Brian Robinson Jr.,RB,WAS,14,152.4,17.1,7.05,16.11,833,2022
