#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted,Fantasy_yr
188,14.08,New Orleans Defense,DEF,NO,163.6,9.6,10.08,16.02,257,2020
189,14.08,Curtis Samuel,WR,CAR,163.9,11.5,12.04,15.12,67,2020
190,14.08,Robby Anderson,WR,CAR,163.9,17.8,4.07,16.09,117,2020
191,14.08,Bryan Edwards,WR,LV,164.2,14,11.02,16.01,63,2020
192,14.1,Matt Gay,PK,LAR,166,5.2,13.01,15.11,111,2020
193,14.11,Kansas City Defense,DEF,KC,167.1,11.4,10.09,15.12,185,2020
194,14.12,Zane Gonzalez,PK,ARI,167.8,5.7,12.08,15.12,158,2020
195,14.12,Matt Prater,PK,DET,167.9,7.1,10.1,15.12,108,2020
196,15.01,Younghoe Koo,PK,ATL,168.8,6.3,12.12,15.12,137,2020
197,15.01,Philadelphia Defense,DEF,PHI,169.1,8.7,12.05,15.12,118,2020
198,15.02,Indianapolis Defense,DEF,IND,170.3,8.5,12.08,16.06,113,2020
199,15.02,Chris Boswell,PK,PIT,170.4,14.5,9.06,15.12,49,2020
200,15.04,Kaimi Fairbairn,PK,HOU,172.5,4.8,14.04,16.02,135,2020
201,15.05,Jake Elliott,PK,PHI,173.1,4.2,14.08,16.03,122,2020
202,15.06,Brandon McManus,PK,DEN,173.8,5,13.06,15.12,65,2020
203,15.06,Dan Bailey,PK,MIN,173.9,4.7,14.03,16.03,103,2020
