Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Fantasy_yr,Posit
201,Nsimba Webster (CHI),2,3,14,7,8,0,0,0,0,0,0,1,1.4,1.4,0.00%,2022,WR
202,Austin Trammell (LAR),2,4,13,6.5,8,0,0,0,0,0,0,2,1.3,0.7,0.00%,2022,WR
203,Jalen Tolbert (DAL),2,3,12,6,8,0,0,0,0,0,0,3,1.2,0.4,0.70%,2022,WR
204,Montrell Washington (DEN),4,9,2,0.5,4,0,0,5,30,0,1,15,1.2,0.1,0.10%,2022,WR
205,Miles Boykin (PIT),2,3,11,5.5,11,0,0,0,0,0,0,10,1.1,0.1,0.10%,2022,WR
206,Tyron Johnson (DAL),1,1,8,8,8,0,0,0,0,0,0,2,0.8,0.4,0.00%,2022,WR
207,Maurice Alexander (DET),1,1,7,7,7,0,0,0,0,0,0,3,0.7,0.2,0.00%,2022,WR
208,Jalen Camp (HOU),1,1,7,7,7,0,0,0,0,0,0,1,0.7,0.7,0.00%,2022,WR
209,C.J. Board (FA),1,1,6,6,6,0,0,0,0,0,0,4,0.6,0.2,0.00%,2022,WR
210,Jason Moore Jr. (FA),1,2,5,5,5,0,0,0,0,0,0,1,0.5,0.5,0.00%,2022,WR
211,Mason Kinsey (TEN),1,1,3,3,3,0,0,0,0,0,0,2,0.3,0.2,0.00%,2022,WR
212,Erik Ezukanma (MIA),1,1,3,3,3,0,0,0,0,0,0,1,0.3,0.3,0.10%,2022,WR
213,Cody White (PIT),1,1,2,2,2,0,0,0,0,0,0,1,0.2,0.2,0.00%,2022,WR
214,Quinton Bell (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2022,WR
215,Tyler Johnson (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
216,Stanley Morgan Jr. (CIN),0,1,0,0,0,0,0,0,0,0,0,9,0,0,0.00%,2022,WR
217,KeeSean Johnson (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
218,Gary Jennings Jr. (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
219,Keelan Doss (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
220,Cody Thompson (SEA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,WR
221,Trinity Benson (DET),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,WR
222,Alex Bachman (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,WR
223,Malik Taylor (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
224,Davion Davis (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
225,Darrius Shepherd (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
226,Malik Turner (IND),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2022,WR
227,Hakeem Butler (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
228,Collin Johnson (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
229,J.J. Arcega-Whiteside (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
230,Jeff Cotton Jr. (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
231,Kristian Wilkerson (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
232,Reggie Roberson Jr. (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
233,Dazz Newsome (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
234,Seth Williams (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
235,Dez Fitzpatrick (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
236,Demetric Felton Jr. (CLE),2,4,8,4,5,0,0,1,-4,0,0,6,0,0,0.00%,2022,WR
237,Dan Chisena (PIT),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2022,WR
238,Joe Reed (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
239,Charleston Rambo (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
240,John Hightower (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
241,Easop Winston Jr. (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
242,Jaylon Moore (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
243,Scotty Washington (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
244,Justyn Ross (KC),0,0,0,0,0,0,0,0,0,0,0,2,0,0,3.40%,2022,WR
245,Isaiah Coulter (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
246,Kirk Merritt (NO),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,WR
247,Ja'Marcus Bradley (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
248,Tarik Black (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
249,Trishton Jackson (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
250,Binjimen Victor (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.10%,2022,WR
251,Lynn Bowden Jr. (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
252,Irvin Charles (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
253,Rodney Williams (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
254,Dre Miller (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
255,Kwamie Lassiter II (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
256,Kendric Pryor (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
257,Mike Harley Jr. (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
258,Kekoa Crawford (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
259,Ethan Fernea (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
260,Lance McCutcheon (LAR),0,5,0,0,0,0,0,0,0,0,0,4,0,0,0.00%,2022,WR
261,Gavin Holmes (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
262,Jaray Jenkins (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
263,Bryce Ford-Wheaton (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
264,Jake Bobo (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
265,Tre Tucker (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%,2022,WR
266,Charlie Jones (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%,2022,WR
267,Andrei Iosivas (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,2022,WR
268,Derius Davis (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,2022,WR
269,Michael Wilson (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%,2022,WR
270,Xavier Hutchinson (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%,2022,WR
271,Trey Palmer (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,2022,WR
272,Demario Douglas (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,2022,WR
273,Cedric Tillman (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40%,2022,WR
274,Josh Ali (ATL),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,WR
275,Jalin Hyatt (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30%,2022,WR
276,Kaden Davis (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
277,Raleigh Webb (NE),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2022,WR
278,Jalen Moreno-Cropper (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
279,Devon Allen (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,2022,WR
280,A.T. Perry (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%,2022,WR
281,Dontayvion Wicks (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30%,2022,WR
282,Mitchell Tinsley (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
283,Shemar Bridges (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
284,Josh Downs (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30%,2022,WR
285,Chris Pierce Jr. (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,WR
286,Derek Wright (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
287,Ra'Shaun Henry (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
288,Kyric McGowan (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
289,Jesse Matthews (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
290,Tank Dell (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40%,2022,WR
291,Jadakis Bonds (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
292,Garett Maag (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
293,Malachi Carter (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
294,Jerome Kapp (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
295,Lucky Jackson (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
296,Tyrell Shavers (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
297,Dontay Demus Jr. (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
298,Sean Ryan (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
299,Braxton Burmeister (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
300,Kade Warner (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
301,Ryan Miller (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
302,Taylor Grimes (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
303,John Stephens Jr. (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
304,Tre'Shaun Harrison (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
305,Dylan Drummond (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
306,Bryan Thompson (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
307,Brian Cobbs (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
308,Jose Barbon (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
309,David Durden (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
310,Chris Coleman (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
311,Daewood Davis (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,WR
