Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Fantasy_yr,Posit
1,Davante Adams (LV),115,149,"1,374",11.9,56,34,18,0,0,0,1,14,243.4,17.4,99.90%,2020,WR
2,Tyreek Hill (MIA),87,135,"1,276",14.7,75,38,15,13,123,2,0,15,241.9,16.1,100.00%,2020,WR
3,Stefon Diggs (BUF),127,166,"1,535",12.1,55,32,8,1,1,0,0,16,201.6,12.6,99.90%,2020,WR
4,Calvin Ridley (JAC),90,143,"1,374",15.3,63,36,9,5,1,0,1,15,191.5,12.8,94.90%,2020,WR
5,DK Metcalf (SEA),83,129,"1,303",15.7,62,37,10,0,0,0,1,16,188.3,11.8,99.30%,2020,WR
6,Justin Jefferson (MIN),88,125,"1,400",15.9,71,39,7,1,2,0,0,16,186.2,11.6,100.00%,2020,WR
7,Adam Thielen (CAR),74,108,925,12.5,51,18,14,3,15,0,0,15,180,12,61.10%,2020,WR
8,Mike Evans (TB),70,109,"1,006",14.4,50,29,13,0,0,0,0,16,178.6,11.2,93.80%,2020,WR
9,A.J. Brown (PHI),70,106,"1,075",15.4,73,28,11,0,0,0,1,14,177.5,12.7,99.90%,2020,WR
10,DeAndre Hopkins (TEN),115,160,"1,407",12.2,60,35,6,1,1,0,2,16,172.8,10.8,96.60%,2020,WR
11,Tyler Lockett (SEA),100,132,"1,054",10.5,47,17,10,0,0,0,0,16,165.4,10.3,93.90%,2020,WR
12,Allen Robinson II (PIT),102,151,"1,250",12.3,42,27,6,1,-1,0,0,16,160.9,10.1,4.00%,2020,WR
13,Robert Woods (HOU),90,129,936,10.4,56,19,6,24,155,2,1,16,155.1,9.7,4.50%,2020,WR
14,Chase Claypool (CHI),62,109,873,14.1,84,26,9,10,16,2,1,16,152.9,9.6,13.20%,2020,WR
15,Marvin Jones Jr. (DET),76,115,978,12.9,43,23,9,0,0,0,0,16,151.8,9.5,2.90%,2020,WR
16,Brandin Cooks (DAL),81,119,"1,150",14.2,57,32,6,0,0,0,0,15,151,10.1,87.20%,2020,WR
17,DJ Moore (CHI),66,118,"1,193",18.1,74,39,4,2,22,0,0,15,145.5,9.7,95.40%,2020,WR
18,Keenan Allen (LAC),100,147,992,9.9,28,10,8,1,-1,0,2,14,145.1,10.4,97.60%,2020,WR
19,Amari Cooper (CLE),92,130,"1,114",12.1,69,26,5,6,14,0,0,16,144.8,9.1,97.50%,2020,WR
20,CeeDee Lamb (DAL),74,111,935,12.6,52,29,5,10,82,1,1,16,143.7,9,99.90%,2020,WR
21,Nelson Agholor (BAL),48,82,896,18.7,85,30,8,0,0,0,0,16,137.6,8.6,0.70%,2020,WR
22,JuJu Smith-Schuster (NE),97,128,831,8.6,31,14,9,0,0,0,1,16,137.1,8.6,75.20%,2020,WR
23,Terry McLaurin (WAS),87,134,"1,118",12.9,68,28,4,2,30,0,1,15,136.8,9.1,95.70%,2020,WR
24,William Fuller V (FA),53,75,879,16.6,77,28,8,1,0,0,0,11,135.9,12.4,0.00%,2020,WR
25,Curtis Samuel (WAS),77,97,851,11.1,44,16,3,41,200,2,0,15,135.1,9,9.00%,2020,WR
26,Diontae Johnson (PIT),88,144,923,10.5,47,19,7,3,15,0,1,15,133.8,8.9,92.30%,2020,WR
27,Robbie Chosen (MIA),95,136,"1,096",11.5,75,25,3,4,15,0,1,16,129.1,8.1,0.70%,2020,WR
28,Tee Higgins (CIN),67,108,908,13.6,67,22,6,5,28,0,1,16,127.6,8,99.80%,2020,WR
29,Corey Davis (NYJ),65,92,984,15.1,75,24,5,0,0,0,1,14,126.4,9,2.00%,2020,WR
30,Chris Godwin (TB),65,84,840,12.9,47,23,7,0,0,0,0,12,126,10.5,94.70%,2020,WR
31,Cole Beasley (NYG),82,107,967,11.8,35,17,4,0,0,0,0,15,125.5,8.4,0.10%,2020,WR
32,Marquise Brown (ARI),58,100,769,13.3,70,25,8,1,1,0,0,16,125,7.8,89.50%,2020,WR
33,Brandon Aiyuk (SF),60,96,748,12.5,49,14,5,6,77,2,0,12,124.5,10.4,91.80%,2020,WR
34,Cooper Kupp (LAR),92,124,974,10.6,55,20,3,4,33,0,1,15,116.7,7.8,99.90%,2020,WR
35,Jarvis Landry (FA),72,101,840,11.7,32,13,3,4,10,1,0,15,116,7.7,7.10%,2020,WR
36,Michael Gallup (DAL),59,105,843,14.3,55,21,5,0,0,0,0,16,114.3,7.1,50.20%,2020,WR
