Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Fantasy_yr,Posit
56,Stephen Anderson (FA),16,19,165,10.3,34,4,1,0,0,0,0,14,22.5,1.6,0.00%,2076,TE
57,Blake Jarwin (FA),11,17,96,8.7,20,1,2,0,0,0,0,8,21.6,2.7,4.00%,2077,TE
58,Marcedes Lewis (FA),23,28,214,9.3,23,3,0,0,0,0,0,13,21.4,1.6,0.00%,2078,TE
59,Eric Ebron (FA),12,18,84,7,19,0,1,1,1,1,0,8,20.5,2.6,0.00%,2079,TE
60,O.J. Howard (FA),14,21,135,9.6,21,1,1,0,0,0,0,11,19.5,1.8,0.10%,2080,TE
61,Nick Vannett (HOU),9,15,133,14.8,30,3,1,0,0,0,0,7,19.3,2.8,0.00%,2081,TE
62,Ian Thomas (CAR),18,30,188,10.4,41,5,0,0,0,0,0,14,18.8,1.3,0.10%,2082,TE
63,Jordan Akins (CLE),24,33,214,8.9,31,2,0,1,3,0,2,12,17.7,1.5,0.60%,2083,TE
64,Zach Gentry (PIT),19,25,167,8.8,25,2,0,0,0,0,0,10,16.7,1.7,0.10%,2084,TE
65,Pharaoh Brown (IND),23,34,171,7.4,29,2,0,0,0,0,1,13,15.1,1.2,0.00%,2085,TE
66,Jesper Horsted (LV),2,3,21,10.5,19,0,2,0,0,0,0,4,14.1,3.5,0.00%,2086,TE
67,Chris Manhertz (DEN),6,9,71,11.8,22,1,1,0,0,0,0,10,13.1,1.3,0.00%,2087,TE
68,Lee Smith (FA),9,11,65,7.2,22,1,1,0,0,0,0,10,12.5,1.3,0.00%,2088,TE
69,Jesse James (NO),7,8,62,8.9,19,0,1,0,0,0,0,5,12.2,2.4,0.00%,2089,TE
70,Jacob Hollister (LV),9,14,55,6.1,11,0,1,0,0,0,0,7,11.5,1.6,0.00%,2090,TE
71,Ross Dwelley (SF),4,5,51,12.8,21,1,1,0,0,0,0,4,11.1,2.8,0.00%,2091,TE
72,Adam Shaheen (FA),12,16,110,9.2,21,1,0,0,0,0,0,9,11,1.2,0.00%,2092,TE
73,Eric Saubert (MIA),8,12,47,5.9,11,0,1,0,0,0,0,10,10.7,1.1,0.10%,2093,TE
74,Antony Auclair (FA),5,5,47,9.4,15,0,1,0,0,0,0,4,10.7,2.7,0.00%,2094,TE
75,Kylen Granson (IND),11,15,106,9.6,27,1,0,0,0,0,0,10,10.6,1.1,0.10%,2095,TE
76,Tommy Sweeney (NYG),9,12,44,4.9,13,0,1,0,0,0,0,7,10.4,1.5,0.00%,2096,TE
77,Chris Herndon IV (FA),4,7,40,10,17,0,1,0,0,0,0,6,10,1.7,0.00%,2097,TE
78,Blake Bell (KC),9,13,87,9.7,24,2,0,4,10,0,0,12,9.7,0.8,0.10%,2098,TE
79,Noah Gray (KC),7,10,36,5.1,8,0,1,0,0,0,0,7,9.6,1.4,0.70%,2099,TE
80,Sean McKeon (DAL),4,6,27,6.8,12,0,1,0,0,0,0,5,8.7,1.7,0.00%,2100,TE
81,Tyree Jackson (PHI),3,7,22,7.3,13,0,1,0,0,0,0,3,8.2,2.7,0.00%,2101,TE
82,Drew Sample (CIN),11,15,81,7.4,19,0,0,0,0,0,0,10,8.1,0.8,0.10%,2102,TE
83,Chris Myarick (NYG),3,6,17,5.7,10,0,1,0,0,0,0,5,7.7,1.5,0.00%,2103,TE
84,Josh Oliver (MIN),9,15,66,7.3,19,0,0,0,0,0,0,11,6.6,0.6,0.10%,2104,TE
85,Luke Farrell (JAC),7,11,56,8,21,1,0,0,0,0,0,9,5.6,0.6,0.00%,2105,TE
86,Charlie Woerner (SF),5,6,52,10.4,27,1,0,0,0,0,0,8,5.2,0.7,0.00%,2106,TE
87,Tre' McKitty (LAC),6,8,45,7.5,12,0,0,0,0,0,0,6,4.5,0.8,0.10%,2107,TE
88,Darren Fells (FA),4,5,43,10.8,24,1,0,0,0,0,0,3,4.3,1.4,0.00%,2108,TE
89,Parker Hesse (ATL),5,6,43,8.6,17,0,0,0,0,0,0,4,4.3,1.1,0.00%,2109,TE
90,Garrett Griffin (FA),4,4,39,9.8,14,0,0,0,0,0,0,5,3.9,0.8,0.00%,2110,TE
91,Kendall Blanton (KC),4,7,37,9.3,23,1,0,0,0,0,0,4,3.7,0.9,0.00%,2111,TE
