Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Fantasy_yr,Posit
1,Derrick Henry (TEN),378,"2,027",5.4,94,30,17,19,31,114,6,0,2,16,314.1,19.6,99.90%,2020,RB
2,Alvin Kamara (NO),187,932,5,49,13,16,83,107,756,9.1,5,0,15,294.8,19.7,92.90%,2020,RB
3,Dalvin Cook (FA),312,"1,557",5,70,12,16,44,54,361,8.2,1,3,14,293.8,21,93.10%,2020,RB
4,Jonathan Taylor (IND),232,"1,169",5,62,15,11,36,40,299,8.3,1,1,15,216.8,14.5,99.80%,2020,RB
5,Aaron Jones (GB),201,"1,104",5.5,77,17,9,47,63,355,7.6,2,0,14,211.9,15.1,98.50%,2020,RB
6,David Montgomery (DET),247,"1,070",4.3,80,12,8,54,68,438,8.1,2,1,15,210.8,14.1,91.70%,2020,RB
7,James Robinson (NYG),240,"1,070",4.5,47,8,7,49,60,344,7,3,1,14,201.4,14.4,2.90%,2020,RB
8,Josh Jacobs (LV),273,"1,065",3.9,28,3,12,33,45,238,7.2,0,2,15,198.3,13.2,99.90%,2020,RB
9,Nick Chubb (CLE),190,"1,067",5.6,59,20,12,16,18,150,9.4,0,1,12,191.7,16,99.90%,2020,RB
10,Kareem Hunt (FA),198,841,4.2,33,4,6,38,51,304,8,5,0,16,180.5,11.3,11.20%,2020,RB
11,Ezekiel Elliott (FA),244,979,4,31,4,6,52,71,338,6.5,2,5,15,171.7,11.4,47.40%,2020,RB
12,Kenyan Drake (FA),239,955,4,69,10,10,25,31,137,5.5,0,1,15,167.2,11.1,0.60%,2020,RB
13,Melvin Gordon III (BAL),215,986,4.6,65,10,9,32,44,158,4.9,1,4,15,166.4,11.1,1.40%,2020,RB
14,Antonio Gibson (WAS),170,795,4.7,40,8,11,36,44,247,6.9,0,2,14,166.2,11.9,82.80%,2020,RB
15,Ronald Jones II (DAL),192,978,5.1,98,11,7,28,42,165,5.9,1,2,14,158.3,11.3,1.70%,2020,RB
16,Chris Carson (FA),141,681,4.8,29,3,5,37,46,287,7.8,4,0,12,150.8,12.6,0.30%,2020,RB
17,J.K. Dobbins (BAL),134,805,6,72,15,9,18,24,120,6.7,0,0,15,150.5,10,93.10%,2020,RB
18,Mike Davis (FA),165,642,3.9,25,2,6,59,70,373,6.3,2,1,15,147.5,9.8,1.00%,2020,RB
19,David Johnson (FA),147,691,4.7,48,7,6,33,46,314,9.5,2,1,12,146.5,12.2,0.00%,2020,RB
20,D'Andre Swift (PHI),114,521,4.6,54,4,8,46,57,357,7.8,2,2,13,143.8,11.1,92.10%,2020,RB
21,Miles Sanders (CAR),164,867,5.3,82,13,6,28,52,197,7,0,2,12,142.4,11.9,95.80%,2020,RB
22,Clyde Edwards-Helaire (KC),181,803,4.4,31,4,4,36,54,297,8.3,1,0,13,140,10.8,15.30%,2020,RB
23,Todd Gurley II (FA),195,678,3.5,35,3,9,25,35,164,6.6,0,0,15,138.2,9.2,0.10%,2020,RB
