YEAR,NAME,ALIAS,VENUE_NAME,SURFACE,ROOF_TYPE,STATE
2020,New England Patriots,NE,Gillette Stadium,Artificial,Outdoor,MA
2020,Baltimore Ravens,BAL,M&T Bank Stadium,Grass,Outdoor,MD
2020,Detroit Lions,DET,Ford Field,Artificial,Dome,MI
2020,Cincinnati Bengals,CIN,Paycor Stadium,Artificial,Outdoor,OH
2020,New Orleans Saints,NO,Caesars Superdome,Artificial,Dome,LA
2020,Los Angeles Rams,LA,SoFi Stadium,Artificial,Outdoor,CA
2020,New York Giants,NYG,MetLife Stadium,Artificial,Outdoor,NY
2020,Denver Broncos,DEN,Empower Field at Mile High,Grass,Outdoor,CO
2020,Tennessee Titans,TEN,Nissan Stadium,Grass,Outdoor,TN
2020,Chicago Bears,CHI,Soldier Field,Grass,Outdoor,IL
2020,Green Bay Packers,GB,Lambeau Field,Grass,Outdoor,WI
2020,Tampa Bay Buccaneers,TB,Raymond James Stadium,Grass,Outdoor,FL
2020,Miami Dolphins,MIA,Hard Rock Stadium,Grass,Outdoor,FL
2020,New York Jets,NYJ,MetLife Stadium,Artificial,Outdoor,NY
2020,Philadelphia Eagles,PHI,Lincoln Financial Field,Grass,Outdoor,PA
2020,Dallas Cowboys,DAL,AT&T Stadium,Artificial,Retractable_dome,TX
2020,Pittsburgh Steelers,PIT,Acrisure Stadium,Grass,Outdoor,PA
2020,Indianapolis Colts,IND,Lucas Oil Stadium,Artificial,Retractable_dome,IN
2020,Houston Texans,HOU,NRG Stadium,Artificial,Retractable_dome,TX
2020,Los Angeles Chargers,LAC,SoFi Stadium,Artificial,Outdoor,CA
2020,Seattle Seahawks,SEA,Lumen Field,Artificial,Outdoor,WA
2020,Las Vegas Raiders,LV,Allegiant Stadium,Grass,Dome,NV
2020,San Francisco 49ers,SF,Levi's Stadium,Grass,Outdoor,CA
2020,Atlanta Falcons,ATL,Mercedes-Benz Stadium,Artificial,Retractable_dome,GA
2020,Arizona Cardinals,ARI,State Farm Stadium,Grass,Retractable_dome,AZ
2020,Jacksonville Jaguars,JAC,TIAA Bank Field,Grass,Outdoor,FL
2020,Cleveland Browns,CLE,FirstEnergy Stadium,Grass,Outdoor,OH
2020,Carolina Panthers,CAR,Bank of America Stadium,Artificial,Outdoor,NC
2021,Carolina Panthers,CAR,Bank of America Stadium,Artificial,Outdoor,NC
2021,Atlanta Falcons,ATL,Mercedes-Benz Stadium,Artificial,Retractable_dome,GA
2021,Jacksonville Jaguars,JAC,EverBank Stadium,Grass,Outdoor,FL
2021,Cleveland Browns,CLE,Cleveland Browns Stadium,Grass,Outdoor,OH
2021,Arizona Cardinals,ARI,State Farm Stadium,Grass,Retractable_dome,AZ
2021,Kansas City Chiefs,KC,GEHA Field at Arrowhead Stadium,Grass,Outdoor,MO
2021,Cincinnati Bengals,CIN,Paycor Stadium,Artificial,Outdoor,OH
2021,Chicago Bears,CHI,Soldier Field,Grass,Outdoor,IL
2021,Washington Commanders,WAS,FedExField,Grass,Outdoor,MD
2021,New York Jets,NYJ,MetLife Stadium,Artificial,Outdoor,NY
2021,Indianapolis Colts,IND,Lucas Oil Stadium,Artificial,Retractable_dome,IN
2021,New England Patriots,NE,Gillette Stadium,Artificial,Outdoor,MA
2021,Tennessee Titans,TEN,Nissan Stadium,Grass,Outdoor,TN
2021,San Francisco 49ers,SF,Levi's Stadium,Grass,Outdoor,CA
2021,Los Angeles Chargers,LAC,SoFi Stadium,Artificial,Outdoor,CA
2021,New Orleans Saints,NO,Caesars Superdome,Artificial,Dome,LA
2021,Seattle Seahawks,SEA,Lumen Field,Artificial,Outdoor,WA
